"32506","Hamlet","42","1.1.67","HORATIO","Before my God, I might not this believe"
"32507","Hamlet","42","1.1.68","HORATIO","Without the sensible and true avouch"
"32508","Hamlet","42","1.1.69","HORATIO","Of mine own eyes."
"32509","Hamlet","43","1.1.70","MARCELLUS","Is it not like the king?"
"32510","Hamlet","44","1.1.71","HORATIO","As thou art to thyself:"
"32511","Hamlet","44","1.1.72","HORATIO","Such was the very armour he had on"
"32512","Hamlet","44","1.1.73","HORATIO","When he the ambitious Norway combated,"
"32513","Hamlet","44","1.1.74","HORATIO","So frown'd he once, when, in an angry parle,"
"32514","Hamlet","44","1.1.75","HORATIO","He smote the sledded Polacks on the ice."
"32515","Hamlet","44","1.1.76","HORATIO","'Tis strange."
"32516","Hamlet","45","1.1.77","MARCELLUS","Thus twice before, and jump at this dead hour,"
"32517","Hamlet","45","1.1.78","MARCELLUS","With martial stalk hath he gone by our watch."
"32518","Hamlet","46","1.1.79","HORATIO","In what particular thought to work I know not,"
"32519","Hamlet","46","1.1.80","HORATIO","But in the gross and scope of my opinion,"
"32520","Hamlet","46","1.1.81","HORATIO","This bodes some strange eruption to our state."
"32521","Hamlet","47","1.1.82","MARCELLUS","Good now, sit down, and tell me, he that knows,"
"32522","Hamlet","47","1.1.83","MARCELLUS","Why this same strict and most observant watch"
"32523","Hamlet","47","1.1.84","MARCELLUS","So nightly toils the subject of the land,"
"32524","Hamlet","47","1.1.85","MARCELLUS","And why such daily cast of brazen cannon,"
"32525","Hamlet","47","1.1.86","MARCELLUS","And foreign mart for implements of war,"
"32526","Hamlet","47","1.1.87","MARCELLUS","Why such impress of shipwrights, whose sore task"
"32527","Hamlet","47","1.1.88","MARCELLUS","Does not divide the Sunday from the week,"
"32528","Hamlet","47","1.1.89","MARCELLUS","What might be toward, that this sweaty haste"
"32529","Hamlet","47","1.1.90","MARCELLUS","Doth make the night joint-labourer with the day:"
"32530","Hamlet","47","1.1.91","MARCELLUS","Who is't that can inform me?"
"32531","Hamlet","48","1.1.92","HORATIO","That can I,"
"32532","Hamlet","48","1.1.93","HORATIO","At least, the whisper goes so. Our last king,"
"32533","Hamlet","48","1.1.94","HORATIO","Whose image even but now appear'd to us,"
"32534","Hamlet","48","1.1.95","HORATIO","Was, as you know, by Fortinbras of Norway,"
"32535","Hamlet","48","1.1.96","HORATIO","Thereto prick'd on by a most emulate pride,"
"32536","Hamlet","48","1.1.97","HORATIO","Dared to the combat, in which our valiant Hamlet--"
"32537","Hamlet","48","1.1.98","HORATIO","For so this side of our known world esteem'd him--"
"32538","Hamlet","48","1.1.99","HORATIO","Did slay this Fortinbras, who by a seal'd compact,"
"32539","Hamlet","48","1.1.100","HORATIO","Well ratified by law and heraldry,"
"32540","Hamlet","48","1.1.101","HORATIO","Did forfeit, with his life, all those his lands"
"32541","Hamlet","48","1.1.102","HORATIO","Which he stood seized of, to the conqueror:"
"32542","Hamlet","48","1.1.103","HORATIO","Against the which, a moiety competent"
"32543","Hamlet","48","1.1.104","HORATIO","Was gaged by our king, which had return'd"
"32544","Hamlet","48","1.1.105","HORATIO","To the inheritance of Fortinbras,"
"32545","Hamlet","48","1.1.106","HORATIO","Had he been vanquisher, as, by the same covenant,"
"32546","Hamlet","48","1.1.107","HORATIO","And carriage of the article design'd,"
"32547","Hamlet","48","1.1.108","HORATIO","His fell to Hamlet. Now, sir, young Fortinbras,"
"32548","Hamlet","48","1.1.109","HORATIO","Of unimproved mettle hot and full,"
"32549","Hamlet","48","1.1.110","HORATIO","Hath in the skirts of Norway here and there"
"32550","Hamlet","48","1.1.111","HORATIO","Shark'd up a list of lawless resolutes,"
"32551","Hamlet","48","1.1.112","HORATIO","For food and diet, to some enterprise"
"32552","Hamlet","48","1.1.113","HORATIO","That hath a stomach in't, which is no other--"
"32553","Hamlet","48","1.1.114","HORATIO","As it doth well appear unto our state--"
"32554","Hamlet","48","1.1.115","HORATIO","But to recover of us, by strong hand"
"32555","Hamlet","48","1.1.116","HORATIO","And terms compulsatory, those foresaid lands"
"32556","Hamlet","48","1.1.117","HORATIO","So by his father lost: and this, I take it,"
"32557","Hamlet","48","1.1.118","HORATIO","Is the main motive of our preparations,"
"32558","Hamlet","48","1.1.119","HORATIO","The source of this our watch and the chief head"
"32559","Hamlet","48","1.1.120","HORATIO","Of this post-haste and romage in the land."
"32560","Hamlet","49","1.1.121","BERNARDO","I think it be no other but e'en so:"
"32561","Hamlet","49","1.1.122","BERNARDO","Well may it sort that this portentous figure"
"32562","Hamlet","49","1.1.123","BERNARDO","Comes armed through our watch, so like the king"
"32563","Hamlet","49","1.1.124","BERNARDO","That was and is the question of these wars."
"32564","Hamlet","50","1.1.125","HORATIO","A mote it is to trouble the mind's eye."
"32565","Hamlet","50","1.1.126","HORATIO","In the most high and palmy state of Rome,"
"32566","Hamlet","50","1.1.127","HORATIO","A little ere the mightiest Julius fell,"
"32567","Hamlet","50","1.1.128","HORATIO","The graves stood tenantless and the sheeted dead"
"32568","Hamlet","50","1.1.129","HORATIO","Did squeak and gibber in the Roman streets:"
"32569","Hamlet","50","1.1.130","HORATIO","As stars with trains of fire and dews of blood,"
"32570","Hamlet","50","1.1.131","HORATIO","Disasters in the sun, and the moist star"
"32571","Hamlet","50","1.1.132","HORATIO","Upon whose influence Neptune's empire stands"
"32572","Hamlet","50","1.1.133","HORATIO","Was sick almost to doomsday with eclipse:"
"32573","Hamlet","50","1.1.134","HORATIO","And even the like precurse of fierce events,"
"32574","Hamlet","50","1.1.135","HORATIO","As harbingers preceding still the fates"
"32575","Hamlet","50","1.1.136","HORATIO","And prologue to the omen coming on,"
"32576","Hamlet","50","1.1.137","HORATIO","Have heaven and earth together demonstrated"
"32577","Hamlet","50","1.1.138","HORATIO","Unto our climatures and countrymen.--"
"32578","Hamlet","50","1.1.139","HORATIO","But soft, behold! lo, where it comes again!"
"32579","Hamlet","50",,"HORATIO","Re-enter Ghost"
"32580","Hamlet","50","1.1.140","HORATIO","I'll cross it, though it blast me. Stay, illusion!"
"32581","Hamlet","50","1.1.141","HORATIO","If thou hast any sound, or use of voice,"
"32582","Hamlet","50","1.1.142","HORATIO","Speak to me:"
"32583","Hamlet","50","1.1.143","HORATIO","If there be any good thing to be done,"
"32584","Hamlet","50","1.1.144","HORATIO","That may to thee do ease and grace to me,"
"32585","Hamlet","50","1.1.145","HORATIO","Speak to me:"
"32586","Hamlet","50",,"HORATIO","Cock crows"
"32587","Hamlet","50","1.1.146","HORATIO","If thou art privy to thy country's fate,"
"32588","Hamlet","50","1.1.147","HORATIO","Which, happily, foreknowing may avoid, O, speak!"
"32589","Hamlet","50","1.1.148","HORATIO","Or if thou hast uphoarded in thy life"
"32590","Hamlet","50","1.1.149","HORATIO","Extorted treasure in the womb of earth,"
"32591","Hamlet","50","1.1.150","HORATIO","For which, they say, you spirits oft walk in death,"
"32592","Hamlet","50","1.1.151","HORATIO","Speak of it: stay, and speak! Stop it, Marcellus."
"32593","Hamlet","51","1.1.152","MARCELLUS","Shall I strike at it with my partisan?"
"32594","Hamlet","52","1.1.153","HORATIO","Do, if it will not stand."
"32595","Hamlet","53","1.1.154","BERNARDO","'Tis here!"
"32596","Hamlet","54","1.1.155","HORATIO","'Tis here!"
"32597","Hamlet","55","1.1.156","MARCELLUS","'Tis gone!"
"32598","Hamlet","55",,"MARCELLUS","Exit Ghost"
"32599","Hamlet","55","1.1.157","MARCELLUS","We do it wrong, being so majestical,"
"32600","Hamlet","55","1.1.158","MARCELLUS","To offer it the show of violence,"
"32601","Hamlet","55","1.1.159","MARCELLUS","For it is, as the air, invulnerable,"
"32602","Hamlet","55","1.1.160","MARCELLUS","And our vain blows malicious mockery."
"32603","Hamlet","56","1.1.161","BERNARDO","It was about to speak, when the cock crew."
"32604","Hamlet","57","1.1.162","HORATIO","And then it started like a guilty thing"
"32605","Hamlet","57","1.1.163","HORATIO","Upon a fearful summons. I have heard,"
"32606","Hamlet","57","1.1.164","HORATIO","The cock, that is the trumpet to the morn,"
"32607","Hamlet","57","1.1.165","HORATIO","Doth with his lofty and shrill-sounding throat"
"32608","Hamlet","57","1.1.166","HORATIO","Awake the god of day, and, at his warning,"
"32609","Hamlet","57","1.1.167","HORATIO","Whether in sea or fire, in earth or air,"
"32610","Hamlet","57","1.1.168","HORATIO","The extravagant and erring spirit hies"
"32611","Hamlet","57","1.1.169","HORATIO","To his confine: and of the truth herein"
"32612","Hamlet","57","1.1.170","HORATIO","This present object made probation."
"32613","Hamlet","58","1.1.171","MARCELLUS","It faded on the crowing of the cock."
"32614","Hamlet","58","1.1.172","MARCELLUS","Some say that ever 'gainst that season comes"
"32615","Hamlet","58","1.1.173","MARCELLUS","Wherein our Saviour's birth is celebrated,"
"32616","Hamlet","58","1.1.174","MARCELLUS","The bird of dawning singeth all night long:"
"32617","Hamlet","58","1.1.175","MARCELLUS","And then, they say, no spirit dares stir abroad,"
"32618","Hamlet","58","1.1.176","MARCELLUS","The nights are wholesome, then no planets strike,"
"32619","Hamlet","58","1.1.177","MARCELLUS","No fairy takes, nor witch hath power to charm,"
"32620","Hamlet","58","1.1.178","MARCELLUS","So hallow'd and so gracious is the time."
"32621","Hamlet","59","1.1.179","HORATIO","So have I heard and do in part believe it."
"32622","Hamlet","59","1.1.180","HORATIO","But, look, the morn, in russet mantle clad,"
